철도운영기관명,선명,역명,출입구번호,상세위치,정원_인원,정원_중량
대구도시철도공사,1호선,각산,2,2/3번 출구,15,1000
대구도시철도공사,1호선,각산,1,1/4번 출구,15,1000
대구도시철도공사,1호선,각산,1,1/4번 출구,15,1000
대구도시철도공사,1호선,교대,3,3번 출구,15,1000
대구도시철도공사,1호선,대곡(정부대구청사),4,4번 출구,15,1000
대구도시철도공사,1호선,대곡(정부대구청사),3,3번 출구,15,1000
대구도시철도공사,1호선,대구역,1,1/2번 출구,15,1000
대구도시철도공사,1호선,대구역,3,3/4번 출구,15,1000
대구도시철도공사,1호선,대명,3,3/2번 출구,15,1000
대구도시철도공사,1호선,대명,4,4/1번 출구,15,1000
대구도시철도공사,1호선,대명,4,4/1번 출구,15,1000
대구도시철도공사,1호선,동촌,2,2번 출구,15,1000
대구도시철도공사,1호선,동촌,4,4/1번 출구,15,1000
대구도시철도공사,1호선,동촌,1,1번 출구,15,1000
대구도시철도공사,1호선,명덕(2.28민주운동기념회관),6,6/5번 출구,15,1000
대구도시철도공사,1호선,명덕(2.28민주운동기념회관),5,5/6번 출구,15,1000
대구도시철도공사,1호선,명덕(2.28민주운동기념회관),7,7/1번 출구,15,1000
대구도시철도공사,1호선,반야월,4,4/1번 출구,15,1000
대구도시철도공사,1호선,반야월,3,3/2번 출구,15,1000
대구도시철도공사,1호선,반야월,1,1/4번 출구,15,1000
대구도시철도공사,1호선,반월당,3,3번 출구,15,1000
대구도시철도공사,1호선,반월당,23,23번 출구,15,1000
대구도시철도공사,1호선,반월당,2,2번 출구,15,1000
대구도시철도공사,1호선,반월당,1,1번 출구,15,1000
대구도시철도공사,1호선,반월당,14,14/16번 출구,15,1000
대구도시철도공사,1호선,반월당,21,21/20번 출구,24,1600
대구도시철도공사,1호선,방촌,4,4/1번 출구,15,1000
대구도시철도공사,1호선,방촌,4,4번 출구,15,1000
대구도시철도공사,1호선,방촌,3,3번 출구,15,1000
대구도시철도공사,1호선,방촌,3,3/2번 출구,15,1000
대구도시철도공사,1호선,상인,7,7/8/1번 출구,15,1000
대구도시철도공사,1호선,상인,3,3번 출구,15,1000
대구도시철도공사,1호선,상인,7,7번 출구,15,1000
대구도시철도공사,1호선,상인,4,4/3번 출구,15,1000
대구도시철도공사,1호선,성당못,3,3번 출구,15,1000
대구도시철도공사,1호선,성당못,1,1/2번 출구,15,1000
대구도시철도공사,1호선,성당못,3,3번 출구,15,1000
대구도시철도공사,1호선,송현,3,3번 출구,15,1000
대구도시철도공사,1호선,송현,4,4번 출구,15,1000
대구도시철도공사,1호선,송현,4,4번 출구,15,1000
대구도시철도공사,1호선,송현,2,2번 출구,15,1000
대구도시철도공사,1호선,신기,4,4번 출구,15,1000
대구도시철도공사,1호선,신기,1,1/4번 출구,15,1000
대구도시철도공사,1호선,신기,2,2/3번 출구,15,1000
대구도시철도공사,1호선,신기,3,3/2번 출구,15,1000
대구도시철도공사,1호선,신천(경북대입구),7,7/8번 출구,15,1000
대구도시철도공사,1호선,신천(경북대입구),7,7/8번 출구,15,1000
대구도시철도공사,1호선,신천(경북대입구),4,4/5/6번 출구,15,1000
대구도시철도공사,1호선,신천(경북대입구),4,4/5/6번 출구,15,1000
대구도시철도공사,1호선,아양교,4,4/3번 출구,15,1000
대구도시철도공사,1호선,아양교,1,1번 출구,15,1000
대구도시철도공사,1호선,아양교,2,2번 출구,15,1000
대구도시철도공사,1호선,안심(혁신도시·첨복단지),1,1/2/5번 출구,15,1000
대구도시철도공사,1호선,안심(혁신도시·첨복단지),4,4/3번 출구,15,1000
대구도시철도공사,1호선,안심(혁신도시·첨복단지),3,3/4/5번 출구,15,1000
대구도시철도공사,1호선,안지랑,2,2/3번 출구,15,1000
대구도시철도공사,1호선,안지랑,1,1/4번 출구,15,1000
대구도시철도공사,1호선,안지랑,2,2/3번 출구,15,1000
대구도시철도공사,1호선,안지랑,1,1번 출구,15,1000
대구도시철도공사,1호선,영대병원,1,1/3번 출구,15,1000
대구도시철도공사,1호선,영대병원,2,2번 출구,15,1000
대구도시철도공사,1호선,영대병원,2,2번 출구,15,1000
